Time	Artist	Title	Album	Track MBID	Artist MBID	Album MBID
1352868964000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352869172000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869173000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869174000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869175000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869176000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869177000	Two Door Cinema Club	This Is the Life	Tourist History [Promo]	d9856797-f517-4b69-bdd0-a5c29d0a5b9f	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869391000	Two Door Cinema Club	Undercover Martyn	Four Words to Stand On	64bca479-8a95-4ebd-a1db-bff355892b62	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352869392000	Two Door Cinema Club	Undercover Martyn	Four Words to Stand On	64bca479-8a95-4ebd-a1db-bff355892b62	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352869393000	Two Door Cinema Club	Undercover Martyn	Four Words to Stand On	64bca479-8a95-4ebd-a1db-bff355892b62	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352869394000	Two Door Cinema Club	Undercover Martyn	Four Words to Stand On	64bca479-8a95-4ebd-a1db-bff355892b62	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352869593000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869594000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869595000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869596000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869597000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869598000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869825000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869826000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869827000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869828000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869829000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869830000	Two Door Cinema Club	Cigarettes in the Theatre	Tourist History [Promo]	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	
1352869983000	Two Door Cinema Club	Cigarettes in the Theatre	Four Words to Stand On	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352869984000	Two Door Cinema Club	Cigarettes in the Theatre	Four Words to Stand On	0248fb48-e884-4358-b0e2-74c8fe9c8d92	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352870187000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870188000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870189000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870190000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870191000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870192000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870193000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870194000	Two Door Cinema Club	Come Back Home	Tourist History [Promo]	d0a480fc-8a2b-490b-bef2-d63c6e81560e	6f1de078-6684-4792-820d-2ffad64c15ed	
1352870397000	Two Door Cinema Club	Costume Party	Tourist History	e7f638fa-9033-44f5-87ec-c7ff79102680	6f1de078-6684-4792-820d-2ffad64c15ed	d9abf895-1404-43d7-8125-fb83b1a8bf34
1352870398000	Two Door Cinema Club	Costume Party	Tourist History	e7f638fa-9033-44f5-87ec-c7ff79102680	6f1de078-6684-4792-820d-2ffad64c15ed	d9abf895-1404-43d7-8125-fb83b1a8bf34
